(unsloth_env) hsbcpoc@e87wgt814tvcff7:~/ft/deepseek-r1-distill-training$ python sft.py 
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.2.4: Fast Qwen2 patching. Transformers: 4.48.3.
   \\   /|    GPU: NVIDIA L20. Max memory: 44.403 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1. CUDA: 8.9. CUDA Toolkit: 12.1. Triton: 3.1.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.28.post3. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Loading checkpoint shards: 100%|██████████████████| 2/2 [00:01<00:00,  1.56it/s]
Map: 100%|████████████████████████| 3043/3043 [00:00<00:00, 16819.11 examples/s]
Unsloth 2025.2.4 patched 28 layers with 28 QKV layers, 28 O layers and 28 MLP layers.
Map: 100%|█████████████████████████| 3043/3043 [00:02<00:00, 1169.66 examples/s]
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 3,043 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 60
 "-____-"     Number of trainable parameters = 40,370,176
{'loss': 2.4877, 'grad_norm': 0.2346799671649933, 'learning_rate': 4e-05, 'epoch': 0.0}
{'loss': 2.5851, 'grad_norm': 0.2662292420864105, 'learning_rate': 8e-05, 'epoch': 0.01}
{'loss': 2.473, 'grad_norm': 0.23144599795341492, 'learning_rate': 0.00012, 'epoch': 0.01}
{'loss': 2.6281, 'grad_norm': 0.2765967845916748, 'learning_rate': 0.00016, 'epoch': 0.01}
{'loss': 2.4548, 'grad_norm': 0.29636427760124207, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 2.5833, 'grad_norm': 0.339965283870697, 'learning_rate': 0.00019636363636363636, 'epoch': 0.02}
{'loss': 2.4736, 'grad_norm': 0.31579118967056274, 'learning_rate': 0.00019272727272727274, 'epoch': 0.02}
{'loss': 2.2406, 'grad_norm': 0.24305643141269684, 'learning_rate': 0.0001890909090909091, 'epoch': 0.02}
{'loss': 2.1618, 'grad_norm': 0.21003010869026184, 'learning_rate': 0.00018545454545454545, 'epoch': 0.02}
{'loss': 2.1079, 'grad_norm': 0.19331960380077362, 'learning_rate': 0.00018181818181818183, 'epoch': 0.03}
{'loss': 2.1028, 'grad_norm': 0.18477533757686615, 'learning_rate': 0.0001781818181818182, 'epoch': 0.03}
{'loss': 2.0227, 'grad_norm': 0.20862746238708496, 'learning_rate': 0.00017454545454545454, 'epoch': 0.03}
